id,rank,word,lemma,pos,pos_long,english_definition,frequency,sum_frequency,coca_spoken_freq,coca_fiction_freq,coca_magazines_freq,coca_newspapers_freq,sat,gre
1,1,the,the,at,article,,25131726,25131726,46393,53302,53776,53614,FALSE,FALSE
2,2,and,and,cc,conjunction,As a coordinating conjunction; expressing two elements to be taken together or in addition to each other.,12368293,37500019,26090,25756,26458,24577,FALSE,FALSE
3,3,of,of,ii,preposition,,11971724,49471743,21503,19640,25872,23814,FALSE,FALSE
4,4,a,a,at,article,,10327063,59798806,21404,22961,24395,23734,FALSE,FALSE
5,5,in,in,ii,preposition,,8035789,67834595,15434,13195,17503,18491,FALSE,FALSE
6,6,to,to,to,infinitive marker,,7277326,75111921,18519,14851,15252,15091,FALSE,FALSE
7,7,to,to,ii,preposition,,4456281,79568202,8584,9326,9767,9377,FALSE,FALSE
8,8,is,be,vbz,verb,,4237443,83805645,12537,5146,9019,8862,FALSE,FALSE
9,9,that,that,cs,conjunction,,3921414,87727059,11722,5711,7831,7257,FALSE,FALSE
10,10,for,for,ii,preposition,,3787585,91514644,7460,6310,8730,9218,FALSE,FALSE
11,11,you,you,pp,pronoun,,3568520,95083164,17140,10762,6009,3200,FALSE,FALSE
12,12,was,be,vbdz,verb,,3384649,98467813,7801,12102,5569,6018,FALSE,FALSE
13,13,with,with,ii,preposition,,3095076,101562889,5720,6785,7358,6673,FALSE,FALSE
14,14,on,on,ii,preposition,,2871374,104434263,6122,6409,6326,6397,FALSE,FALSE
15,15,'s,'s,ge,germanic genitive marker,,2439692,106873955,3097,5247,6039,6967,FALSE,FALSE
16,16,at,at,ii,preposition,In or very near a particular place.,2275149,109149104,4243,5950,4958,5698,FALSE,FALSE
17,17,this,this,dd,determiner,,2174014,111323118,8225,3635,3511,3179,FALSE,FALSE
18,18,be,be,vb0,verb,,2118716,113441834,5476,3757,4222,4177,FALSE,FALSE
19,19,are,be,vbr,verb,,2104334,115546168,5700,2244,4716,4684,FALSE,FALSE
20,20,have,have,vh0,verb,,2095853,117642021,6951,3606,3953,4358,FALSE,FALSE
21,21,his,his,appge,possesive pronoun,,2054779,119696800,2786,9131,3770,4449,FALSE,FALSE
22,22,that,that,dd,determiner,,1968632,121665432,8740,4486,2826,2967,FALSE,FALSE
23,23,from,from,ii,preposition,,1884593,123550025,3436,4043,4275,4178,FALSE,FALSE
24,24,not,not,xx,"not, n't",,1871822,125421847,4923,4093,3254,3465,FALSE,FALSE
25,25,n't,n't,xx,"not, n't",,1858869,127280716,5931,6875,3323,3326,FALSE,FALSE
26,26,by,by,ii,preposition,,1698219,128978935,2264,2308,4288,3981,FALSE,FALSE
27,27,or,or,cc,conjunction,,1562165,130541100,2766,2395,4190,2914,FALSE,FALSE
28,28,do,do,vd0,verb,,1520565,132061665,6461,3889,2494,2260,FALSE,FALSE
29,29,an,a,at,article,,1495549,133557214,2655,2537,3577,3463,FALSE,FALSE
30,30,as,as,cs,conjunction,,1480797,135038011,2495,4052,3088,2618,FALSE,FALSE
31,31,had,have,vhd,verb,"To possess, own, hold.",1385700,136423711,2194,6579,2311,2176,FALSE,FALSE
32,32,were,be,vbdr,verb,,1239291,137663002,2661,3091,2006,2086,FALSE,FALSE
33,33,their,their,appge,possesive pronoun,,1236355,138899357,2047,2083,2756,2675,FALSE,FALSE
34,34,all,all,db,determiner,"Every individual or anything of the given class, with no exceptions (the noun or noun phrase denoting the class must be plural or uncountable).",1227134,140126491,3751,3238,2306,1964,FALSE,FALSE
35,35,has,have,vhz,verb,,1192491,141318982,2955,1035,2635,3715,FALSE,FALSE
36,36,who,who,pn,pronoun,,1167096,142486078,2938,1975,2385,3312,FALSE,FALSE
37,37,her,her,appge,possesive pronoun,,1127332,143613410,1247,6923,1733,1577,FALSE,FALSE
38,38,my,my,appge,possesive pronoun,,1072807,144686217,2262,5199,2178,1247,FALSE,FALSE
39,39,if,if,cs,conjunction,,1072615,145758832,3102,2749,2371,1901,FALSE,FALSE
40,40,would,would,vm,verb,Indicating the consequence of an imagined event or situation.,1057682,146816514,2786,3048,1821,2060,FALSE,FALSE
41,41,said,say,vvd,verb,,1037828,147854342,1537,4080,780,4604,FALSE,FALSE
