id,rank,word,lemma,pos,pos_long,english_definition,frequency,sum_frequency,coca_spoken_freq,coca_fiction_freq,coca_magazines_freq,coca_newspapers_freq,sat,gre
50000,50000,sympathizes,sympathize,vvz,verb,,124,391877889,0,0,0,1,FALSE,FALSE
50001,50001,rekindled,rekindle,vvd,verb,,124,391878013,0,0,0,0,FALSE,FALSE
50002,50002,baffles,baffle,vvz,verb,,124,391878137,0,0,0,0,FALSE,FALSE
50003,50003,enchanted,enchant,vvd,verb,,124,391878261,0,1,0,0,FALSE,FALSE
50004,50004,sullied,sully,vvn,verb,,124,391878385,0,0,0,0,FALSE,FALSE
50005,50005,star-crossed,star-crossed,jj,adjective,,124,391878509,0,0,0,1,FALSE,FALSE
50006,50006,resoundingly,resoundingly,rr,adverb,,124,391878633,0,0,0,0,FALSE,FALSE
50007,50007,reconfigured,reconfigure,vvd,verb,,124,391878757,0,0,0,0,FALSE,FALSE
50008,50008,reconnected,reconnect,vvd,verb,,124,391878881,0,0,0,0,FALSE,FALSE
50009,50009,dilutes,dilute,vvz,verb,,124,391879005,0,0,0,0,FALSE,FALSE
50010,50010,barricaded,barricade,vvd,verb,,124,391879129,0,0,0,0,FALSE,FALSE
50011,50011,masterminded,mastermind,vvd,verb,,124,391879253,0,0,0,0,FALSE,FALSE
50012,50012,half-heartedly,half-heartedly,rr,adverb,,124,391879377,0,1,0,0,FALSE,FALSE
50013,50013,deterred,deter,vvd,verb,,124,391879501,0,0,0,0,FALSE,FALSE
50014,50014,guffaws,guffaw,nn2,noun,Sudden loud laughter.,124,391879625,0,1,0,0,TRUE,TRUE
50015,50015,mended,mend,vvd,verb,,124,391879749,0,1,0,0,FALSE,FALSE
50016,50016,assiduous,assiduous,jj,adjective,Thorough; diligent.,124,391879873,0,0,0,0,TRUE,TRUE
50017,50017,best-loved,best-loved,jj,adjective,,124,391879997,0,0,1,0,FALSE,FALSE
50018,50018,mooning,moon,vvg,verb,,124,391880121,0,1,0,0,FALSE,FALSE
50019,50019,moss-covered,moss-covered,jj,adjective,,124,391880245,0,1,1,0,FALSE,FALSE
50020,50020,coated,coat,vvd,verb,,124,391880369,0,1,0,0,FALSE,FALSE
50021,50021,slaying,slay,vvg,verb,,124,391880493,0,0,0,0,FALSE,FALSE
50022,50022,abhorred,abhor,vvd,verb,,124,391880617,0,0,0,0,FALSE,FALSE
50023,50023,unjustifiable,unjustifiable,jj,adjective,,124,391880741,0,0,0,0,FALSE,FALSE
50024,50024,memorialized,memorialize,vvn,verb,,124,391880865,0,0,0,0,FALSE,FALSE
50025,50025,plunking,plunk,vvg,verb,,124,391880989,0,0,0,0,FALSE,FALSE
50026,50026,pocket-size,pocket-size,jj,adjective,,124,391881113,0,0,1,0,FALSE,FALSE
50027,50027,reinterpreted,reinterpret,vvn,verb,,124,391881237,0,0,0,0,FALSE,FALSE
50028,50028,apprehended,apprehend,vvd,verb,,124,391881361,0,0,0,0,FALSE,FALSE
50029,50029,special,special,nn1,noun,,124,391881485,0,0,0,1,FALSE,FALSE
50030,50030,unmasked,unmask,vvn,verb,,124,391881609,0,0,0,0,FALSE,FALSE
50031,50031,sheared,shear,vvd,verb,,124,391881733,0,1,0,0,FALSE,FALSE
50032,50032,friendless,friendless,jj,adjective,,124,391881857,0,1,0,0,FALSE,FALSE
50033,50033,glitters,glitter,nn2,noun,,124,391881981,0,1,0,0,FALSE,FALSE
50034,50034,smirk,smirk,vv0,verb,,124,391882105,0,1,0,0,FALSE,FALSE
50035,50035,preemptively,preemptively,rr,adverb,,124,391882229,0,0,0,0,FALSE,FALSE
50036,50036,bested,best,vvn,verb,,124,391882353,0,1,0,0,FALSE,FALSE
50037,50037,vaporized,vaporize,vvn,verb,,124,391882477,0,1,0,0,FALSE,FALSE
50038,50038,rights,right,vvz,verb,,124,391882601,0,0,0,0,FALSE,FALSE
50039,50039,impersonate,impersonate,vv0,verb,,124,391882725,0,0,0,0,FALSE,FALSE
50040,50040,benched,bench,vvd,verb,,124,391882849,0,0,0,1,FALSE,FALSE
50041,50041,lumber,lumber,vv0,verb,,124,391882973,0,1,0,0,FALSE,FALSE
50042,50042,prescience,prescience,nn1,noun,Foreknowledge.,124,391883097,0,0,0,0,FALSE,TRUE
50043,50043,pollutes,pollute,vvz,verb,,124,391883221,0,0,0,0,FALSE,FALSE
50044,50044,fourth-floor,fourth-floor,jj,adjective,,124,391883345,0,1,0,0,FALSE,FALSE
50045,50045,mutated,mutate,vvd,verb,,124,391883469,0,1,0,0,FALSE,FALSE
50046,50046,screwy,screwy,jj,adjective,,124,391883593,0,1,0,0,FALSE,FALSE
50047,50047,dissolute,dissolute,jj,adjective,,124,391883717,0,1,0,0,FALSE,FALSE
50048,50048,sunrises,sunrise,nn2,noun,,124,391883841,0,0,1,0,FALSE,FALSE
50049,50049,benefitted,benefit,vvd,verb,,124,391883965,0,0,0,0,FALSE,FALSE
50050,50050,co-authored,co-author,vvn,verb,,124,391884089,0,0,0,0,FALSE,FALSE
50051,50051,nationalizing,nationalize,vvg,verb,,124,391884213,0,0,0,0,FALSE,FALSE
50052,50052,burnt,burn,vvd,verb,,124,391884337,0,1,0,0,FALSE,FALSE
50053,50053,canopied,canopied,jj,adjective,,124,391884461,0,1,0,0,FALSE,FALSE
50054,50054,heathens,heathen,nn2,noun,,124,391884585,0,1,0,0,FALSE,FALSE
50055,50055,starch,starch,vv0,verb,,124,391884709,0,0,1,0,FALSE,FALSE
50056,50056,deducting,deduct,vvg,verb,,124,391884833,0,0,0,1,FALSE,FALSE
50057,50057,stubs,stub,vvz,verb,,124,391884957,0,1,0,0,FALSE,FALSE
50058,50058,whodunit,whodunit,nn1,noun,,124,391885081,0,0,0,1,FALSE,FALSE
50059,50059,subhuman,subhuman,jj,adjective,,124,391885205,0,0,0,0,FALSE,FALSE
50060,50060,previewing,preview,vvg,verb,,124,391885329,0,0,0,0,FALSE,FALSE
50061,50061,saner,sane,jjr,adjective,,124,391885453,0,0,0,0,FALSE,FALSE
50062,50062,sanded,sand,vvd,verb,,124,391885577,0,0,1,0,FALSE,FALSE
50063,50063,reciprocally,reciprocally,rr,adverb,,124,391885701,0,0,0,0,FALSE,FALSE
50064,50064,mechanized,mechanize,vvd,verb,,124,391885825,0,0,0,0,FALSE,FALSE
50065,50065,mutinous,mutinous,jj,adjective,Very rebellious.,124,391885949,0,1,0,0,TRUE,TRUE
50066,50066,imprecision,imprecision,nn1,noun,,124,391886073,0,0,0,0,FALSE,FALSE
50067,50067,mumbo,mumbo,nn1,noun,,124,391886197,0,1,0,0,FALSE,FALSE
50068,50068,subplots,subplot,nn2,noun,,124,391886321,0,0,0,1,FALSE,FALSE
50069,50069,iniquity,iniquity,nn1,noun,,124,391886445,0,0,0,0,FALSE,FALSE
50070,50070,unbuttons,unbutton,vvz,verb,,124,391886569,0,1,0,0,FALSE,FALSE
50071,50071,integrally,integrally,rr,adverb,,124,391886693,0,0,0,0,FALSE,FALSE
50072,50072,underarms,underarm,nn2,noun,,124,391886817,0,1,1,0,FALSE,FALSE
50073,50073,acoustically,acoustically,rr,adverb,,124,391886941,0,0,0,0,FALSE,FALSE
50074,50074,silhouetted,silhouetted,jj,adjective,,124,391887065,0,1,0,0,FALSE,FALSE
